City,Date,lat,lon
Lake Elsinore,8/2/2010,33.6680772,-117.3272615
Long Beach,8/3/2010,33.7700504,-118.1937395
Naval weapons base Fallbrook,8/3/2010,33.3764196,-117.2511466
Davis,8/4/2010,38.5449065,-121.7405167
Perris,8/5/2010,33.7825194,-117.2286478
San Jose,8/5/2010,37.3382082,-121.8863286
San Jose,8/5/2010,37.3382082,-121.8863286
Anaheim,8/8/2010,33.8352932,-117.9145036
Ventura,8/10/2010,34.274646,-119.2290316
Vacaville,8/11/2010,38.3565773,-121.9877444
Hidden Hills,8/12/2010,34.1602832,-118.6523096
Bridgeport,8/12/2010,38.2557045,-119.2313932
Temecula,8/13/2010,33.4936391,-117.1483648
Winnetka,8/13/2010,34.2048586,-118.5739621
Yosemite,8/13/2010,37.7455701,-119.5936038
Redwood Valley,8/14/2010,39.2652491,-123.2041429
Burbank,8/14/2010,34.1808392,-118.3089661
Hollywood,8/14/2010,34.0928092,-118.3286614
Devore,8/14/2010,34.2334918,-117.4105251
Visalia,8/15/2010,36.3302284,-119.2920585
Weaverville,8/15/2010,40.7309778,-122.9419708
Glendale,8/16/2010,34.1425078,-118.255075
Antioch,8/16/2010,38.0049214,-121.805789
Yucaipa,8/18/2010,34.033625,-117.0430865
Dana Point,8/18/2010,33.4669721,-117.6981075
Palos Verdes Estates,8/18/2010,33.8005714,-118.3900737
Newberry Springs,8/18/2010,34.8286042,-116.6889227
Laguna Beach,8/19/2010,33.5422475,-117.7831104
Glendale,8/19/2010,34.1425078,-118.255075
Rancho Cordova,8/20/2010,38.5890723,-121.302728
Shafter,8/20/2010,35.5005139,-119.2717761
Palos Verdes,8/21/2010,33.7444613,-118.3870173
"Thousand Oaks, CA",8/21/2010,34.1705609,-118.8375937
Thousand Oaks,8/21/2010,34.1705609,-118.8375937
Santa Rosa,8/21/2010,38.440429,-122.7140548
Escondido,8/22/2010,33.1192068,-117.086421
San Bernardino,8/22/2010,34.1083449,-117.2897652
Los Feliz,8/22/2010,34.1063307,-118.2848199
Watsonville,8/22/2010,36.910231,-121.7568946
Venice,8/23/2010,33.9850469,-118.4694832
Oakdale,8/23/2010,37.7665947,-120.8471545
Visalia,8/24/2010,36.3302284,-119.2920585
Redding,8/24/2010,40.5865396,-122.3916754
Hanford,8/25/2010,36.3274502,-119.6456844
Escondido,8/26/2010,33.1192068,-117.086421
Turlock,8/27/2010,37.4946568,-120.8465941
Lathrop,8/28/2010,37.8227046,-121.27661
Los Angeles,8/28/2010,34.0522342,-118.2436849
El Centro,8/28/2010,32.792,-115.5630514
Los Angeles,8/28/2010,34.0522342,-118.2436849
Los Angeles,8/28/2010,34.0522342,-118.2436849
Sherman Oaks,8/28/2010,34.1489719,-118.451357
San Jose,8/29/2010,37.3382082,-121.8863286
Woodland Hills/West Hills,8/30/2010,34.1991559,-118.641061
Los Angeles,8/30/2010,34.0522342,-118.2436849
Yorba Linda,8/30/2010,33.8886259,-117.8131125
Arcata,8/30/2010,40.8665166,-124.0828396
Sacramento,8/31/2010,38.5815719,-121.4943996
Garden Grove,9/1/2010,33.7739053,-117.9414477
Carlsbad,9/1/2010,33.1580933,-117.3505939
Pittsburg,9/1/2010,38.0279762,-121.8846806
Orange,9/2/2010,33.7877944,-117.8531119
Covina,9/2/2010,34.0900091,-117.8903397
Tracy,9/3/2010,37.7396513,-121.4252227
Alameda,9/3/2010,37.7652065,-122.2416355
Santa Barbara,9/3/2010,34.4208305,-119.6981901
Joshua Tree,9/3/2010,34.134728,-116.3130661
Red Bluff,9/3/2010,40.1784886,-122.2358302
Redlands,9/3/2010,34.0555693,-117.1825381
Sherman Oaks,9/4/2010,34.1489719,-118.451357
Beverly Hills,9/5/2010,34.0736204,-118.4003563
Desert Hot Springs,9/5/2010,33.961124,-116.5016784
Grass Valley,9/5/2010,39.2190608,-121.0610606
Modesto,9/7/2010,37.6390972,-120.9968782
Ft. Jones,9/7/2010,41.6076387,-122.8403099
Upland,9/9/2010,34.09751,-117.6483876
Patterson,9/10/2010,37.4716001,-121.129656
Ft. Jones,9/13/2010,41.6076387,-122.8403099
Lodi,9/14/2010,38.1341477,-121.2722194
San Bernardino,9/14/2010,34.1083449,-117.2897652
concord,9/14/2010,37.9779776,-122.0310733
Yuba City,9/15/2010,39.1404477,-121.6169108
Covina,9/15/2010,34.0900091,-117.8903397
San Jacinto,9/15/2010,33.7839084,-116.958635
Pomona,9/16/2010,34.055103,-117.7499909
Cambria,9/17/2010,35.5641381,-121.0807468
Panorama City,9/17/2010,34.227617,-118.442425
Escondido,9/17/2010,33.1192068,-117.086421
Eagle Rock,9/18/2010,34.1322469,-118.2117257
Antioch,9/18/2010,38.0049214,-121.805789
Norwalk,9/18/2010,33.9022367,-118.081733
Riverside,9/20/2010,33.9533487,-117.3961564
Oxnard,9/20/2010,34.1975048,-119.1770516
Ojai,9/20/2010,34.4480495,-119.242889
Ventura,9/20/2010,34.274646,-119.2290316
San Jose,9/20/2010,37.3382082,-121.8863286
Durham,9/20/2010,39.6462733,-121.7999767
Yorba Linda,9/21/2010,33.8886259,-117.8131125
Santa Monica,9/22/2010,34.0194543,-118.4911912
Los Angeles,9/22/2010,34.0522342,-118.2436849
Orange,9/22/2010,33.7877944,-117.8531119
Los Angeles,9/22/2010,34.0522342,-118.2436849
Palmdale,9/24/2010,34.5794343,-118.1164613
Santa Monica,9/24/2010,34.0194543,-118.4911912
Loma Linda,9/24/2010,34.0483474,-117.2611527
Salinas,9/25/2010,36.6777372,-121.6555013
Fontana,9/25/2010,34.0922335,-117.435048
Tehachapi,9/25/2010,35.1321877,-118.4489739
Oceanside,9/25/2010,33.1958696,-117.3794834
Thousand Oaks,9/25/2010,34.1705609,-118.8375937
